real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
94,89.7663,84.5805,85.6467,95.0654,94.8568,91.6468,90.2331,88.1502,89.2408,89.6553,84.7876,98.3851,90.5808,88.2326,86.5309,87.8167,84.7873,85.6775,-8477.33,-10791.7,0.111005,-6651.61,-8952.48
95,90.0006,84.5223,85.5904,95.1001,94.6889,91.7313,90.0516,88.4412,89.1046,89.9061,84.7469,98.5929,90.8026,88.5475,86.7364,87.5297,84.2886,85.5839,-8053,-11447.2,0.094433,-6212.59,-9592.56
96,89.7469,84.713,85.5685,94.6796,94.8425,91.4837,89.8828,88.154,88.9897,89.6442,84.8679,98.6462,90.857,88.488,86.5517,87.3524,84.6803,85.4068,-10117.6,-13366.1,0.102715,-8333.56,-11546.8
97,89.9077,84.729,85.5201,94.6442,94.3501,91.6972,90.1559,88.2749,89.0078,89.8068,84.8429,98.0604,91.0179,88.5423,86.3123,87.3545,84.7251,85.5816,-8425.3,-11706.3,0.100942,-7215.56,-10470.9
98,89.7961,84.6806,85.3917,94.5977,94.8573,91.4488,90.1525,88.2427,89.0707,89.7059,85.188,98.1671,91.1375,88.6222,86.4315,87.3432,84.9142,85.5253,-8910.03,-11940.2,0.0902013,-7371.77,-10357.1
99,89.7574,84.8608,85.4405,95.2902,95.1183,91.5473,90.3289,88.2796,89.2757,89.6754,84.9694,98.2117,90.8824,88.0752,86.5021,87.3392,84.8283,85.6041,-8603.56,-11288,0.0819198,-7192.44,-9848.99
100,89.7425,84.6238,85.2442,94.9381,94.262,91.5189,89.8718,88.5411,89.162,89.6327,84.9498,98.47,90.5947,88.3867,86.4755,87.4561,84.6797,85.4355,-9132.19,-11104.7,0.109848,-7681,-9629.71
101,89.8075,84.8144,85.4112,95.3077,94.826,91.4444,90.1729,88.3122,89.1048,89.6972,85.2451,98.6756,90.7953,88.2414,86.513,87.3996,84.9422,85.3199,-9113.69,-11438.4,0.110228,-7686.68,-9987.79
102,89.9087,84.772,85.4792,94.7322,94.7871,91.2936,89.9326,88.3265,89.2179,89.8014,84.8474,98.8182,90.6391,88.373,86.6523,87.268,84.6376,85.3977,-7909.41,-10492.3,0.107276,-6350.72,-8907.06
103,89.8709,84.4629,85.5175,94.9021,94.7542,91.8349,90.2464,88.2332,89.167,89.7631,84.7217,98.6053,90.8559,88.2939,86.3435,87.3444,84.8425,85.7086,-7692.11,-10356.5,0.107719,-6073.79,-8720.11
