ICPL	Kx
1031	11.00535
1032	8.377802
1033	8.136303
1034	12.31527
1035	18.3653
1036	24.94477
1037	28.67809
1038	22.23002
1039	17.14321
1040	12.27795
1041	8.885034
1042	7.482884
1043	7.392424
1044	7.559341
1045	7.747654
1046	7.782561
1047	7.49739
1048	7.537426
1049	7.059149
1050	7.21164
1051	7.293939
1052	6.962672
1053	7.005968
1054	6.440261
1055	6.549909
1056	6.714511
1057	6.765343
1058	6.466991
1059	6.526444
1060	6.038134
1061	6.220192
1062	6.289807
1063	5.974557
1064	6.056448
1065	1.033699
1066	0.9073719
1067	0.8037948
1068	0.776316
1069	0.7465423
1070	0.6842853
1071	0.813264
1072	0.8207285
1073	0.7553065
1074	0.7599299
1075	0.8435479
1076	0.8469068
1077	0.8054176
1078	0.8082437
1079	0.8283596
1080	0.773646
1081	0.7741787
1082	0.7463818
1083	0.7428265
1084	0.7517218
1085	0.7164409
1086	0.7194522
1087	0.7002468
1088	0.6987775
1089	0.7240663
1090	0.7186209
1091	0.7070609
1092	0.6998537
1093	0.7108292
1094	0.7025267
1095	0.6900067
1096	0.6777084
1097	0.6852284
1098	0.6607934
1099	0.8283603
1100	0.8304306
1101	0.7381066
1102	0.7263694
1103	0.7915978
1104	0.690674
1105	0.677737
1106	0.6626059
1107	0.6464569
1108	0.6401461
1109	0.642446
1110	0.6270563
1111	0.6341339
1112	0.6154852
1113	0.6061536
1114	0.5838983
1115	0.5938946
1116	0.571389
1117	0.627892
1118	0.657655
1119	0.5459971
1120	0.6002459
1121	0.8581502
1122	0.9355517
1123	0.6940346
1124	0.7627022
1125	0.8983188
1126	1.348529
1127	2.179686
1128	1.73287
1129	1.237331
1130	1.60447
1131	2.690801
1132	4.167249
1133	6.113548
1134	9.960877
1135	16.95319
1136	31.44759
1137	60.91133
1138	59.38678
1139	32.05286
1140	22.65059
1141	21.37613
1142	20.46438
1143	20.9687
1144	20.27452
1145	17.07468
1146	15.19627
1147	11.75255
1148	11.76022
1149	15.91272
1150	23.3591
1151	27.29057
1152	31.49467
1153	24.87185
1154	20.88016
1155	13.66693
1156	9.833656
1157	6.685609
1158	5.441822
1159	5.521377
1160	5.73107
1161	5.828091
1162	5.491575
1163	5.607544
1164	5.00244
1165	5.25936
1166	5.399306
1167	5.023302
1168	5.188451
1169	4.605891
1170	4.488841
1171	4.830378
1172	5.03213
1173	4.675524
1174	4.923303
1175	4.189841
1176	4.606744
1177	4.882709
1178	4.621458
1179	4.921504
1180	1.24709
1181	1.086661
1182	0.8704671
1183	0.7249232
1184	0.6748297
1185	0.8303368
1186	0.7339026
1187	0.6210676
1188	0.592371
1189	0.5745555
1190	0.5970316
1191	0.5841526
1192	0.634205
1193	0.6055415
1194	0.563394
1195	0.5657542
1196	0.5761861
1197	0.5767131
1198	0.5912015
1199	0.5890356
1200	0.5888025
1201	0.6009844
1202	0.5991702
1203	0.5945664
1204	0.6052225
1205	0.6044432
1206	0.6120586
1207	0.6560595
1208	0.6170913
1209	0.6128765
1210	0.6198204
1211	0.6223979
1212	0.6266887
1213	0.6381268
1214	0.6372573
1215	0.6271562
1216	0.6628234
1217	0.6267139
1218	0.6542839
1219	0.6937201
1220	0.7179416
1221	0.6821199
1222	0.7095501
1223	0.6284162
1224	0.6391405
1225	0.6353513
1226	0.6448858
1227	0.6504348
1228	0.6630739
1229	0.6560881
1230	0.6675468
1231	0.6495027
1232	0.6719597
1233	0.676445
1234	0.6910654
1235	0.6819595
1236	0.6949646
1237	0.7135303
1238	0.687678
1239	0.7014575
1240	0.6957321
1241	0.7097106
1242	0.7157505
1243	0.7314788
1244	0.7251436
1245	0.7401703
1246	0.7449714
1247	0.8434019
1248	0.7454703
1249	0.7852285
1250	0.7482756
1251	0.766502
1252	0.7569035
1253	0.7760192
1254	0.7880763
1255	0.8134399
1256	0.7979116
1257	0.8235062
1258	0.8439343
1259	0.9341131
1260	0.8660378
1261	0.9544855
1262	1.119203
1263	1.544217
1264	1.057275
1265	1.208489
1266	1.066755
1267	1.209643
1268	1.475577
1269	2.138031
1270	2.639367
1271	1.869897
1272	2.173582
1273	2.370281
1274	1.991759
1275	2.251267
1276	2.198237
1277	1.898286
1278	2.491341
1279	3.988705
1280	5.951924
1281	8.139434
1282	11.39325
1283	15.94234
1284	23.03044
1285	32.99789
1286	30.97135
1287	20.18997
1288	17.23215
1289	19.44071
1290	21.21352
1291	22.13132
1292	20.54518
1293	16.57377
1294	14.50438
1295	12.66224
1296	12.99472
1297	15.69865
1298	19.3561
1299	20.59077
1300	21.41861
1301	18.48067
1302	16.01037
1303	12.05454
1304	9.443811
1305	7.140463
1306	5.202711
1307	4.649772
1308	4.812026
1309	5.051698
1310	5.052419
1311	5.25369
1312	5.365689
1313	5.344461
1314	5.509412
1315	5.675495
1316	5.810936
1317	6.625822
1318	6.122639
1319	6.02613
1320	6.135764
1321	6.396322
1322	6.483875
1323	6.933049
1324	6.783691
1325	6.851467
1326	7.187133
1327	7.236076
1328	1.675224
1329	1.53338
1330	1.41324
1331	0.988547
1332	0.7080834
1333	0.6599544
1334	0.7638701
1335	0.6821854
1336	0.689617
1337	0.7165609
1338	0.7490395
1339	0.7486296
1340	0.7783684
1341	0.7661189
1342	0.8436176
1343	0.7828886
1344	0.8081211
1345	0.8334023
1346	0.8193367
1347	0.8433432
1348	0.8093411
1349	0.8480104
1350	0.8637697
1351	0.898838
1352	0.8729218
1353	0.9075084
1354	0.9441919
1355	0.9924991
1356	0.9525111
1357	1.000839
1358	0.9024145
1359	0.9906067
1360	0.891296
1361	0.9705899
1362	1.047262
1363	1.110344
1364	1.057602
1365	1.118137
1366	1.176609
1367	1.248611
1368	1.183361
1369	1.2534
1370	1.103779
1371	1.195059
1372	1.262973
1373	1.210843
1374	1.278864
1375	1.359422
1376	1.513842
1377	1.332042
1378	1.40146
1379	1.347376
1380	1.413802
1381	1.468061
1382	1.532525
1383	1.477221
1384	1.535758
1385	1.143773
1386	1.284048
1387	1.222035
1388	1.375786
1389	1.420302
1390	1.538888
1391	1.522156
1392	1.638553
1393	1.658463
1394	1.790155
1395	1.593328
1396	1.655616
1397	1.589842
1398	1.639197
1399	1.708693
1400	1.759646
1401	1.683407
1402	1.72949
1403	1.91313
1404	2.032273
1405	1.81328
1406	1.86663
1407	1.77528
1408	1.826294
1409	1.931663
1410	2.004262
1411	1.897531
1412	1.971859
1413	1.628968
1414	1.689571
1415	1.718876
1416	1.75336
1417	1.755047
1418	1.8664
1419	1.951823
1420	1.835387
1421	1.937848
1422	1.726778
1423	1.900979
1424	2.14295
1425	2.230726
1426	2.0994
1427	2.25937
1428	2.304005
1429	2.373583
1430	2.395374
1431	2.51781
1432	2.049946
1433	2.151175
1434	2.054849
1435	2.17943
1436	2.253476
1437	2.349628
1438	2.295847
1439	2.406929
1440	2.195638
1441	2.465792
1442	2.440601
1443	2.525603
1444	2.511238
1445	2.608942
1446	2.692288
1447	2.594841
1448	2.710015
1449	2.705471
1450	2.821438
1451	2.811786
1452	2.908337
1453	2.930733
1454	3.034391
1455	2.567637
1456	2.810216
1457	2.851503
1458	3.002282
1459	3.000099
1460	3.092189
1461	3.133685
1462	3.23005
1463	3.307083
1464	3.421546
1465	3.227762
1466	3.869585
1467	3.945006
1468	4.656873
1469	5.791934
1470	8.169301
1471	11.55068
1472	14.4665
1473	16.65212
1474	17.88915
1475	16.04965
1476	14.68579
1477	13.25504
1478	13.73493
1479	19.37185
1480	21.26599
1481	17.25472
1482	13.96497
1483	10.83017
1484	9.704515
1485	10.291
1486	11.91816
1487	12.06713
1488	12.48063
1489	11.78377
1490	10.98311
1491	10.53408
1492	9.507665
1493	8.992269
1494	8.282073
1495	8.450898
1496	8.221259
1497	7.80317
1498	7.606164
1499	7.635827
1500	8.040401
1501	8.048756
1502	8.746334
1503	8.488872
1504	8.471989
1505	8.948809
1506	8.841908
1507	9.939291
1508	9.720784
1509	9.366461
1510	9.265934
1511	9.820012
1512	9.670462
1513	10.7526
1514	10.18836
1515	10.03144
1516	10.49393
1517	10.25988
1518	1.974946
1519	1.867486
1520	1.756458
1521	1.357109
1522	1.063174
1523	1.181365
1524	1.426665
1525	1.567512
1526	1.879878
1527	2.196633
1528	2.624863
1529	2.097116
1530	2.275941
1531	3.053579
1532	3.46414
1533	2.777938
1534	2.990241
1535	3.223179
1536	3.387226
1537	3.619238
1538	3.899101
1539	4.314701
1540	3.294759
1541	3.403718
1542	3.484564
1543	3.588123
1544	3.502352
1545	3.607596
1546	3.69505
1547	3.795478
1548	3.843765
1549	3.897574
1550	3.999555
1551	4.116693
1552	4.218502
1553	3.851195
1554	4.081868
1555	4.10196
1556	4.212435
1557	4.321493
1558	4.426384
1559	4.337646
1560	4.4532
1561	4.555309
1562	4.672454
1563	4.331309
1564	4.52554
1565	4.887274
1566	5.049798
1567	4.717655
1568	4.78002
1569	4.900214
1570	5.018406
1571	5.134388
1572	5.227162
1573	5.451858
1574	4.347608
1575	4.658646
1576	4.75953
1577	5.057858
1578	5.402203
1579	5.024877
1580	5.152283
1581	5.248221
1582	5.373935
1583	5.287777
1584	5.441935
1585	5.501319
1586	5.636572
1587	5.657047
1588	5.719608
1589	5.844387
1590	5.936327
1591	6.049315
1592	5.769556
1593	6.126456
1594	5.988121
1595	6.12696
1596	6.16491
1597	6.312602
1598	6.276551
1599	6.438729
1600	6.446603
1601	6.58893
1602	6.364497
1603	7.622305
1604	6.507494
1605	6.969381
1606	6.776868
1607	7.16931
1608	7.787812
1609	8.767485
1610	10.16297
1611	8.983769
1612	10.44361
1613	13.14571
1614	16.27027
1615	17.83781
1616	17.00278
1617	13.55568
1618	12.89153
1619	13.76717
1620	14.38777
1621	16.054
1622	14.47933
1623	10.65435
1624	7.606451
1625	5.346109
1626	4.800195
1627	5.949873
1628	7.603257
1629	7.875053
1630	7.700908
1631	7.011639
1632	6.602444
1633	6.95528
1634	7.05541
1635	7.211535
1636	7.406493
1637	8.876831
1638	10.52235
1639	10.98437
1640	10.68199
1641	10.43325
1642	10.74417
1643	10.56407
1644	10.8344
1645	10.77787
1646	10.64281
1647	10.73676
1648	10.69156
1649	10.33473
1650	10.75929
1651	10.7401
1652	10.66021
1653	10.74829
1654	10.68963
1655	10.75594
1656	10.76665
1657	10.72242
1658	10.7983
1659	10.76245
1660	2.109744
1661	1.991303
1662	1.776915
1663	1.792085
1664	1.973562
1665	2.22283
1666	2.975387
1667	3.987324
1668	6.312371
1669	6.544583
1670	5.866332
1671	6.161294
1672	7.073948
1673	7.38067
1674	6.148394
1675	6.318133
1676	6.660518
1677	6.816816
1678	6.525657
1679	6.619219
1680	6.781983
1681	6.809431
1682	6.941796
1683	6.959707
1684	7.150489
1685	7.535851
1686	7.721678
1687	6.921944
1688	7.06385
1689	7.054566
1690	7.181739
1691	7.214697
1692	7.380898
1693	7.31177
1694	7.455415
1695	7.315076
1696	7.41054
1697	7.529284
1698	7.513654
1699	7.60823
1700	7.684254
1701	8.160221
1702	7.667916
1703	7.852702
1704	7.719222
1705	7.880267
1706	8.061365
1707	8.31095
1708	8.073749
1709	8.312191
1710	7.640658
1711	7.726995
1712	8.0874
1713	8.09672
1714	7.861238
1715	8.073147
1716	8.324686
1717	8.084577
1718	8.351032
1719	8.036418
1720	8.216862
1721	8.717383
1722	9.368887
1723	8.755732
1724	9.477833
1725	10.61176
1726	8.657765
1727	9.030386
1728	8.712792
1729	9.126722
1730	9.710232
1731	8.813068
1732	9.281553
1733	9.021448
1734	9.53615
1735	9.760351
1736	10.24078
1737	10.04647
1738	10.54274
1739	10.58771
1740	11.4556
1741	11.09567
1742	12.00561
1743	12.36628
1744	14.0701
1745	12.95815
1746	14.3414
1747	17.12256
1748	20.98585
1749	19.56561
1750	15.89675
1751	16.20713
1752	21.80949
1753	20.16309
1754	11.231
1755	7.410512
1756	5.71898
1757	3.789333
1758	2.153049
1759	1.73355
1760	2.906367
1761	4.172713
1762	4.812302
1763	4.786124
1764	5.048664
1765	4.807336
1766	4.0898
1767	3.855262
1768	4.266992
1769	5.396345
1770	6.509654
1771	6.330993
1772	6.26515
1773	8.414415
1774	10.40172
1775	10.83679
1776	10.84502
1777	10.81176
1778	10.90755
1779	10.87076
1780	11.01142
1781	10.98539
1782	10.93809
1783	11.07603
1784	11.00986
1785	10.75969
1786	11.28611
1787	11.18941
1788	11.09855
1789	11.27866
1790	11.14962
1791	11.5924
1792	11.32285
1793	11.1633
1794	11.29949
1795	11.10165
1796	2.640047
1797	2.380911
1798	2.051229
1799	2.197823
1800	2.638655
1801	3.019424
1802	3.882652
1803	4.935652
1804	7.301113
1805	7.726625
1806	8.16002
1807	9.342226
1808	9.201054
1809	9.494633
1810	11.62561
1811	12.86315
1812	9.943653
1813	10.47475
1814	10.99031
1815	10.99962
1816	11.509
1817	11.29193
1818	12.22719
1819	11.49111
1820	11.97419
1821	12.00823
1822	12.49072
1823	12.91428
1824	12.60997
1825	13.08536
1826	13.30741
1827	13.7701
1828	13.54314
1829	13.98087
1830	14.21911
1831	14.65202
1832	14.39812
1833	14.73946
1834	14.978
1835	15.39499
1836	15.81243
1837	16.21952
1838	16.58876
1839	17.38309
1840	13.74273
1841	14.44122
1842	14.91366
1843	15.69375
1844	16.0575
1845	15.80752
1846	16.20628
1847	16.6535
1848	17.05334
