ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp125	5542.952	5899.047	4	  5.7782980E+00	  1.0507000E-01	  4.8674970E+00	  2.5518069E-04
pp126	5542.952	5361.897	4	  6.7112440E+00	  1.1385580E-01	  5.0574300E+00	  2.5187935E-04
pp127	5696.423	3891.129	4	  6.6441750E+00	  1.0958480E-01	  4.8904800E+00	  2.6443616E-04
pp128	6297.519	4351.543	4	  9.2934410E+00	  1.3124840E-01	  4.3954970E+00	  2.5990074E-04
pp129	4174.498	5029.375	4	  6.9315230E+00	  1.1133700E-01	  4.8257210E+00	  2.4807998E-04
pp130	4404.706	5630.472	4	  5.8896270E+00	  1.0549030E-01	  4.6336730E+00	  2.4871950E-04
pp131	5184.852	5477	4	  6.0742130E+00	  1.0772160E-01	  4.9799950E+00	  2.4592436E-04
pp132	5056.959	4927.061	4	  6.8543910E+00	  1.1307840E-01	  5.3175510E+00	  2.4551208E-04
pp133	4698.859	4466.647	4	  7.2435240E+00	  1.1239960E-01	  5.3913080E+00	  2.5584084E-04
pp134	3688.506	4543.383	4	  6.8702910E+00	  1.1271490E-01	  4.8017680E+00	  2.5614799E-04
pp135	7819.444	4786.379	4	  9.1054760E+00	  1.3866960E-01	  5.2107050E+00	  2.6900820E-04
pp136	8510.065	4671.276	4	  6.3069450E+00	  1.2041490E-01	  5.4626850E+00	  2.7957696E-04
pp137	8650.747	5170.057	4	  5.9185800E+00	  1.1776320E-01	  5.4602130E+00	  2.8103702E-04
pp138	8676.326	4274.808	4	  5.7895590E+00	  1.1358510E-01	  5.3102030E+00	  2.7787700E-04
pp139	6514.937	5349.107	4	  1.0503980E+01	  1.4087010E-01	  4.2306520E+00	  2.5441516E-04
pp140	3790.82	5643.261	4	  5.7634030E+00	  1.0547950E-01	  4.5137700E+00	  2.5103266E-04
pp141	4136.131	6135.648	4	  5.2705270E+00	  1.0193780E-01	  4.5889170E+00	  2.5249529E-04
pp142	4948.25	6359.461	4	  5.0810610E+00	  1.0061770E-01	  4.7161780E+00	  2.5557163E-04
pp143	337.714	8974.869	1	  4.5089340E+00	  9.9439897E-02	  3.9679870E+00	  2.4590976E-04
pp144	286.557	8002.883	1	  4.1474440E+00	  9.9000790E-02	  3.1870360E+00	  2.3821860E-04
pp145	286.557	6903.005	1	  3.5293450E+00	  9.7002035E-02	  1.9971560E+00	  2.2381801E-04
pp146	260.978	6058.913	1	  3.0685130E+00	  9.2598134E-02	  1.4416660E+00	  2.0956830E-04
pp147	235.4	4575.356	1	  2.3983890E+00	  8.2102673E-02	  1.0752810E+00	  1.8170431E-04
pp148	286.557	5317.134	1	  2.7002900E+00	  8.7164106E-02	  1.2181430E+00	  1.9323331E-04
pp149	286.557	3603.371	1	  2.0906120E+00	  7.7244385E-02	  1.0096770E+00	  1.6657860E-04
pp150	286.557	2068.657	1	  2.3735610E+00	  8.5053519E-02	  1.4630340E+00	  1.7995127E-04
pp151	286.557	1198.986	1	  2.8404770E+00	  9.1673430E-02	  1.8210570E+00	  2.0093925E-04
pp152	1130.65	5214.82	1	  2.8777050E+00	  8.5779621E-02	  2.4371780E+00	  1.6366111E-04
pp153	1770.114	5163.663	1	  3.4242540E+00	  8.9663341E-02	  4.0060890E+00	  1.6280931E-04
pp154	2665.363	4984.613	1	  4.3199160E+00	  1.0621840E-01	  3.4928860E+00	  1.6037416E-04
pp155	3893.134	4805.563	1	  5.2382360E+00	  1.4365560E-01	  2.6789690E+00	  1.4941529E-04
pp156	1258.542	7465.733	1	  3.6713110E+00	  9.7743517E-02	  2.3116840E+00	  2.0413157E-04
pp157	1718.956	6596.062	1	  3.4686580E+00	  9.4845793E-02	  2.3555800E+00	  1.8379489E-04
pp158	3023.463	8054.04	1	  4.3076630E+00	  9.8803911E-02	  3.2401110E+00	  2.0600234E-04
pp159	2511.892	7235.526	1	  3.9076670E+00	  9.7906010E-02	  2.5997450E+00	  1.8921338E-04
pp160	3944.291	8744.662	1	  4.5186750E+00	  9.7954313E-02	  3.2844770E+00	  2.3062000E-04
pp161	5274.377	7414.576	1	  4.3220330E+00	  1.0240520E-01	  3.3545040E+00	  1.9781915E-04
pp162	6220.784	6621.641	1	  4.4820020E+00	  1.3038330E-01	  3.9150620E+00	  1.6543744E-04
pp163	4097.763	7593.626	1	  4.3514290E+00	  9.9385960E-02	  2.4501200E+00	  2.0367919E-04
pp164	4558.177	6749.534	1	  4.5348920E+00	  1.0738680E-01	  2.8036780E+00	  1.9230564E-04
pp165	6144.048	5956.598	1	  4.5893620E+00	  1.6023530E-01	  2.8120780E+00	  1.6719799E-04
pp166	2869.992	5841.495	1	  4.1254140E+00	  1.0526340E-01	  2.5120170E+00	  1.6837327E-04
pp167	3279.249	5854.284	1	  4.3847870E+00	  1.1145970E-01	  2.2403010E+00	  1.6583365E-04
pp168	3573.402	5854.284	1	  4.5780180E+00	  1.1565010E-01	  2.2361980E+00	  1.6581254E-04
pp169	3893.134	5854.284	1	  4.7527090E+00	  1.1978740E-01	  2.4389410E+00	  1.6875310E-04
pp170	4302.391	5879.863	4	  5.5460700E+00	  1.0343240E-01	  4.5665590E+00	  2.4952044E-04
pp171	3381.563	5624.077	1	  4.5506590E+00	  1.1696380E-01	  2.2528210E+00	  1.6191375E-04
pp172	3547.824	5457.816	4	  5.7988570E+00	  1.0645210E-01	  4.5095700E+00	  2.5507674E-04
pp173	4187.288	5662.445	4	  5.8774560E+00	  1.0542940E-01	  4.5617600E+00	  2.4772197E-04
pp174	4583.755	5419.448	4	  6.1769820E+00	  1.0728060E-01	  4.8033200E+00	  2.4878158E-04
pp175	4583.755	5048.559	4	  6.8086300E+00	  1.1081790E-01	  5.0458810E+00	  2.4955238E-04
pp176	4174.498	5202.031	4	  6.6662460E+00	  1.0999830E-01	  4.7261790E+00	  2.4704150E-04
pp177	3176.935	5048.559	1	  4.6448630E+00	  1.2075320E-01	  2.4952310E+00	  1.5488683E-04
pp178	3739.663	5099.716	4	  6.5197580E+00	  1.1026930E-01	  4.5675600E+00	  2.5006326E-04
pp179	2933.938	6110.07	1	  4.0875710E+00	  1.0357220E-01	  2.3694120E+00	  1.7141910E-04
pp180	3240.881	6135.648	1	  4.2652050E+00	  1.0690340E-01	  2.2235090E+00	  1.7045242E-04
