  days     volume       vol_drain     vol_macro      delta_vol      del_vol_drain  del_vol_macro  rainfall       irrigation     recharge       macro_rech     total_rech     gw_withdrawal  net_recharge   runoff         pot_evap       evaporation    gw_pot_evap     balance        elevation      depth-to-water
  1765  0.3074267      0.4472771E-02   0.000000     -0.3947879E-01 -0.1423701E-03   0.000000      0.8100000E-02   0.000000      0.1339877E-01   0.000000      0.1339877E-01   0.000000      0.1339877E-01   0.000000      0.2568000      0.3432238E-01  0.2224776      0.1040834E-15   15.17497       84.82502    
  1796  0.3214989      0.5783631E-02   0.000000      0.1407217E-01  0.1310860E-02   0.000000      0.6010000E-01   0.000000      0.1255560E-01   0.000000      0.1255560E-01   0.000000      0.1255560E-01   0.000000      0.2398000      0.3216137E-01  0.2076386     -0.4857226E-15   15.17497       84.82502    
  1827  0.3590130      0.2019150E-01   0.000000      0.3751408E-01  0.1440787E-01   0.000000      0.9440000E-01   0.000000      0.1121659E-01   0.000000      0.1121659E-01   0.000000      0.1121659E-01   0.000000      0.2256000      0.3126146E-01  0.1943385     -0.5932754E-15   15.17497       84.82502    
  1855  0.3635806      0.3683230E-01   0.000000      0.4567662E-02  0.1664079E-01   0.000000      0.7930000E-01   0.000000      0.3510666E-01   0.000000      0.3510666E-01   0.000000      0.3510666E-01   0.000000      0.1528000      0.2298488E-01  0.1298151      0.1526557E-15   15.17497       84.82502    
  1886  0.3480223      0.7573578E-02   0.000000     -0.1555829E-01 -0.2925872E-01   0.000000      0.3560000E-01   0.000000      0.5131133E-01   0.000000      0.5131133E-01   0.000000      0.5131133E-01   0.000000      0.2092000      0.2910567E-01  0.1800943      0.2220446E-15   15.17497       84.82502    
  1916  0.3235053      0.7949852E-02   0.000000     -0.2451698E-01  0.3762740E-03   0.000000      0.1580000E-01   0.000000      0.2070439E-01   0.000000      0.2070439E-01   0.000000      0.2070439E-01   0.000000      0.1378000      0.1923632E-01  0.1185637      0.2714842E-15   15.17497       84.82502    
  1947  0.3419326      0.1104131E-01   0.000000      0.1842722E-01  0.3091455E-02   0.000000      0.4810000E-01   0.000000      0.1377992E-01   0.000000      0.1377992E-01   0.000000      0.1377992E-01   0.000000      0.9480000E-01  0.1280141E-01  0.8199859E-01  0.4336809E-16   15.17497       84.82502    
  1977  0.3317540      0.9990754E-02   0.000000     -0.1017860E-01 -0.1050553E-02   0.000000      0.2240000E-01   0.000000      0.2211133E-01   0.000000      0.2211133E-01   0.000000      0.2211133E-01   0.000000      0.8240000E-01  0.1151782E-01  0.7088218E-01 -0.2532696E-15   15.17497       84.82502    
  2008  0.3141340      0.5415663E-02   0.000000     -0.1761998E-01 -0.4575091E-02   0.000000      0.8700000E-02   0.000000      0.1791540E-01   0.000000      0.1791540E-01   0.000000      0.1791540E-01   0.000000      0.9720000E-01  0.1297967E-01  0.8422033E-01 -0.6938894E-16   15.17497       84.82502    
  2039  0.3087629      0.4542397E-02   0.000000     -0.5371049E-02 -0.8732663E-03   0.000000      0.1940000E-01   0.000000      0.1014113E-01   0.000000      0.1014113E-01   0.000000      0.1014113E-01   0.000000      0.1196000      0.1550319E-01  0.1040968     -0.4943962E-15   15.17497       84.82502    
