 point             x              y          zone  nugget  sill           a         hanis     bearing
 PP291            7906.337       9749.785      23  0.0     1.0            911.620   1.0       0.0
 PP292            8188.667       9733.178      23  0.0     1.0            935.085   1.0       0.0
 PP293            6328.611       9168.518      23  0.0     1.0            892.703   1.0       0.0
 PP294            6046.281       8653.681      23  0.0     1.0            835.519   1.0       0.0
 PP295            5747.344       8703.504      23  0.0     1.0            880.834   1.0       0.0
 PP296            7175.601       8819.757      23  0.0     1.0            892.142   1.0       0.0
 PP297            7507.754       8487.605      23  0.0     1.0            936.098   1.0       0.0
 PP298            7258.639       7673.830      23  0.0     1.0            816.464   1.0       0.0
 PP299            6810.233       8138.844      23  0.0     1.0            854.991   1.0       0.0
 PP300            7109.170       8105.629      23  0.0     1.0            823.738   1.0       0.0
 PP301            7474.538       7922.945      23  0.0     1.0            873.180   1.0       0.0
 PP302            6411.649       7557.577      23  0.0     1.0            874.234   1.0       0.0
 PP303            6727.195       7408.108      23  0.0     1.0            821.107   1.0       0.0
 PP304            6876.663       7092.563      23  0.0     1.0            840.964   1.0       0.0
 PP305            6428.257       6245.573      23  0.0     1.0            811.164   1.0       0.0
 PP306            6826.840       6494.688      23  0.0     1.0            880.154   1.0       0.0
 PP307            6627.549       6677.372      23  0.0     1.0            833.375   1.0       0.0
 PP308            2757.969       6777.018      23  0.0     1.0            840.824   1.0       0.0
 PP309            2292.955       6544.511      23  0.0     1.0            868.764   1.0       0.0
 PP310            2010.625       6710.587      23  0.0     1.0            941.298   1.0       0.0
 PP311            2259.739       6145.927      23  0.0     1.0            797.930   1.0       0.0
 PP312            1612.041       6295.396      23  0.0     1.0            927.217   1.0       0.0
 PP313             914.520       6029.674      23  0.0     1.0            747.152   1.0       0.0
 PP314             200.392       5730.736      23  0.0     1.0           1131.665   1.0       0.0
 PP315             831.482       5597.875      23  0.0     1.0            787.774   1.0       0.0
 PP316            1429.357       5415.191      23  0.0     1.0            757.877   1.0       0.0
 PP317            1827.941       5381.976      23  0.0     1.0            787.221   1.0       0.0
 PP318            2326.170       5298.938      23  0.0     1.0            724.900   1.0       0.0
 PP319            2176.701       5000.000      23  0.0     1.0            796.022   1.0       0.0
 PP320            2708.146       4767.493      23  0.0     1.0            690.522   1.0       0.0
 PP321            3040.298       4966.785      23  0.0     1.0            681.489   1.0       0.0
 PP322            3389.059       4833.924      23  0.0     1.0            696.014   1.0       0.0
 PP323            3804.250       4800.708      23  0.0     1.0            624.926   1.0       0.0
 PP324            4302.479       4717.670      23  0.0     1.0            658.319   1.0       0.0
 PP325            4717.670       4800.708      23  0.0     1.0            654.874   1.0       0.0
 PP326            1994.017       4568.201      23  0.0     1.0            708.918   1.0       0.0
 PP327            1379.534       4983.392      23  0.0     1.0            772.231   1.0       0.0
 PP328            1578.826       4750.885      23  0.0     1.0            762.193   1.0       0.0
 PP329            1578.826       4651.240      23  0.0     1.0            782.444   1.0       0.0
 PP330             947.736       5066.431      23  0.0     1.0            848.643   1.0       0.0
 PP331             598.975       5000.000      23  0.0     1.0            947.263   1.0       0.0
 PP332             748.444       4534.986      23  0.0     1.0            887.579   1.0       0.0
 PP333             549.152       4202.833      23  0.0     1.0            855.643   1.0       0.0
 PP334             399.684       4020.149      23  0.0     1.0            895.068   1.0       0.0
 PP335            1014.166       4003.542      23  0.0     1.0            842.515   1.0       0.0
 PP336            1578.826       3920.503      23  0.0     1.0            753.887   1.0       0.0
 PP337            2027.232       4169.618      23  0.0     1.0            594.094   1.0       0.0
 PP338            2060.448       3870.680      23  0.0     1.0            653.765   1.0       0.0
 PP339            2459.031       4153.010      23  0.0     1.0            621.370   1.0       0.0
 PP340            2741.361       4285.871      23  0.0     1.0            603.257   1.0       0.0
 PP341            2824.399       3920.503      23  0.0     1.0            627.028   1.0       0.0
 PP342            3289.413       4153.010      23  0.0     1.0            681.689   1.0       0.0
 PP343            3339.236       3687.996      23  0.0     1.0            666.387   1.0       0.0
 PP344            3040.298       3953.719      23  0.0     1.0            619.280   1.0       0.0
 PP345            3007.083       3671.389      23  0.0     1.0            672.623   1.0       0.0
 PP346            3306.021       3189.767      23  0.0     1.0            771.642   1.0       0.0
 PP347            3073.514       2841.007      23  0.0     1.0            840.832   1.0       0.0
 PP348            2326.170       3372.451      23  0.0     1.0            834.317   1.0       0.0
 PP349            1794.725       3040.298      23  0.0     1.0            824.271   1.0       0.0
 PP350            1479.180       3422.274      23  0.0     1.0            769.624   1.0       0.0
 PP351             682.013       3339.236      23  0.0     1.0            797.448   1.0       0.0
 PP352            1047.382       3139.944      23  0.0     1.0            744.310   1.0       0.0
 PP353            1063.989       2890.830      23  0.0     1.0            710.955   1.0       0.0
 PP354             266.822       3173.160      23  0.0     1.0            960.494   1.0       0.0
 PP355             349.861       2841.007      23  0.0     1.0            914.757   1.0       0.0
 PP356             980.951       2608.500      23  0.0     1.0            690.757   1.0       0.0
 PP357             632.191       2475.639      23  0.0     1.0            735.525   1.0       0.0
 PP358             615.583       2193.309      23  0.0     1.0            725.663   1.0       0.0
 PP359             848.090       1944.194      23  0.0     1.0            699.054   1.0       0.0
 PP360             383.076       1728.295      23  0.0     1.0            921.918   1.0       0.0
 PP361             798.267       1313.104      23  0.0     1.0            883.856   1.0       0.0
 PP362             665.406        615.583      23  0.0     1.0            934.710   1.0       0.0
 PP363             -15.507        831.482      23  0.0     1.0           1396.535   1.0       0.0
 PP364             881.305        682.013      23  0.0     1.0            891.660   1.0       0.0
 PP365             715.229        167.177      23  0.0     1.0           1239.166   1.0       0.0
 PP366            1761.510        582.368      23  0.0     1.0            881.787   1.0       0.0
 PP367            2176.701        366.468      23  0.0     1.0            954.635   1.0       0.0
 PP368            2359.385       1047.382      23  0.0     1.0            830.506   1.0       0.0
 PP369            1661.864       1512.395      23  0.0     1.0            819.224   1.0       0.0
 PP370            2475.639       1994.017      23  0.0     1.0            750.196   1.0       0.0
 PP371            2492.246       2209.916      23  0.0     1.0            755.969   1.0       0.0
 PP372            2176.701       2542.069      23  0.0     1.0            820.013   1.0       0.0
 PP373            3422.274       2425.816      23  0.0     1.0            866.391   1.0       0.0
 PP374            3671.389       2525.462      23  0.0     1.0            833.589   1.0       0.0
 PP375            4269.264       2940.653      23  0.0     1.0            740.696   1.0       0.0
