real_name,h1-3892_1,h1-1664_1,h1-162_1,h3-3521_1,h3-3988_1,h3-3417_1,h3-3829_1,h3-3357_1,h3-3594_1,h3-3892_1,h3-1152_1,h3-313_1,h3-209_1,h3-331_1,h3-707_1,h3-3956_1,h3-2270_1,h3-521_1,trib_1,total_1,dh3892_1,p-trib_1,p-total_1
49,89.7818,84.848,85.5004,95.573,94.6454,92.1142,90.5526,88.5939,89.0368,89.6969,85.0867,98.5459,90.9388,88.4457,86.5727,87.4365,84.911,85.1721,-9107.86,-11900.2,0.0848747,-7623.77,-10384.1
50,89.6155,84.6681,85.4791,95.0838,94.6024,91.319,90.5819,88.4738,88.904,89.5151,84.9462,98.4847,90.6993,88.4204,86.4088,87.4848,84.8492,85.4288,-10012.4,-13616.6,0.100388,-8467.33,-12034.7
51,89.7875,84.7632,85.5482,95.0996,94.1058,91.9113,89.8324,88.848,89.4195,89.6777,85.245,98.5556,90.5028,88.3075,86.356,87.4146,84.9993,85.528,-8899.55,-12013.9,0.1098,-7191.81,-10278.9
52,89.8125,84.5891,85.9644,95.2076,93.9849,91.2005,90.2647,88.3679,89.1245,89.7031,85.255,98.5467,90.8784,88.2481,86.5567,87.4134,84.8148,85.7274,-8170.88,-12478.5,0.10943,-6407.42,-10682.5
53,89.7709,84.4989,85.4541,95.1711,94.8993,91.2904,90.4906,88.6411,89.0843,89.6589,84.7606,98.889,90.6896,88.6626,86.2691,87.5659,84.7545,85.4644,-7796.14,-12313.2,0.111992,-6214.64,-10690.6
54,90.0412,84.7703,85.6632,95.2745,94.5221,91.5121,90.3284,88.8043,89.4292,89.9316,84.9641,98.5266,90.4337,88.4683,86.3904,87.3071,85.1047,85.6084,-9167.54,-11926.8,0.109586,-7893.45,-10618.9
55,90.0615,84.5989,85.5165,95.3382,95.0428,91.5305,90.2668,88.5228,89.2024,89.96,84.9989,98.4522,90.7493,88.4986,86.388,87.4605,84.6592,85.5379,-9496.84,-13348.3,0.101473,-8207.27,-11993.7
56,89.6095,84.4649,85.511,95.4173,94.8448,91.9736,90.0968,88.9793,89.3443,89.5094,84.6663,99.0235,90.5091,88.2603,86.3693,87.2768,84.4903,85.4758,-7685.21,-10986,0.100084,-6448.18,-9684.33
57,89.8517,84.8003,85.1935,95.4688,94.874,91.5248,90.1516,88.4074,89.1706,89.7643,85.2167,98.3453,90.9295,88.4333,86.509,87.7695,84.8027,85.5823,-9230.3,-12214.4,0.0873952,-7735.01,-10699.2
58,89.5772,84.8293,85.825,95.3986,94.464,91.7509,89.8392,88.6248,89.0764,89.4741,84.9368,98.5148,90.6565,88.1714,86.2752,87.3511,85.0588,85.4555,-8761.95,-10650.1,0.103133,-7556.31,-9427.9
59,90.0797,84.6918,85.592,95.9529,95.6555,92.6014,90.8743,88.8859,89.4969,89.9812,85.0053,98.9778,91.1066,88.6344,86.8619,87.4241,84.8817,85.9772,-8862.39,-13448.7,0.0984947,-7554.98,-12117.9
60,89.5979,84.6656,85.4207,95.0995,94.7599,91.5973,90.1451,88.9495,89.2637,89.5027,85.244,98.617,90.5925,88.2859,86.4819,87.3134,85.0256,85.5509,-7573.68,-10189.3,0.0952032,-5974.59,-8555.19
61,89.8113,84.5418,85.7567,95.4135,94.7942,91.3718,90.2267,88.5535,88.9835,89.7279,85.326,98.8998,91.0003,88.9097,86.6859,87.4097,84.8383,86.0231,-7752.27,-11242.8,0.0833871,-6351.82,-9780
62,89.8667,84.4382,85.6597,95.1919,94.6954,91.4183,90.2039,88.5905,89.0403,89.7625,84.9347,98.7572,90.5299,88.4606,86.3112,87.5749,84.6418,85.5064,-7406.5,-11427.2,0.104262,-5936.03,-9913.92
63,89.702,84.7707,85.5844,95.1668,94.7421,91.6382,89.7837,88.8041,89.4029,89.6002,85.2794,99.127,91.0494,89.1162,86.6929,87.5407,84.8597,85.4281,-7874.42,-10899.4,0.101774,-6243.65,-9225.43
