ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp149	286.557	3603.371	1	  9.0254200E-02	  1.6817700E-02	  5.8149970E-01	  4.6360000E-03
pp150	286.557	2068.657	1	  1.0073300E-01	  3.3734000E-03	  5.4219250E-01	  7.8991000E-03
pp151	286.557	1198.986	1	  1.0024330E-01	  1.7303000E-03	  5.4328670E-01	  9.1905000E-03
pp152	1130.65	5214.82	1	  9.4517000E-02	  6.7731900E-02	  5.5393720E-01	  8.4924000E-03
pp153	1770.114	5163.663	1	  1.1127100E-01	  1.1821200E-01	  4.6409080E-01	  1.0181600E-02
pp154	2665.363	4984.613	1	  8.2556300E-02	  1.7303400E-01	  3.8281130E-01	  9.4499000E-03
pp155	3893.134	4805.563	1	  2.4562700E-02	  1.4812000E-01	  2.0897760E-01	  1.4382300E-02
pp156	1258.542	7465.733	1	  4.1434700E-02	  3.7470000E-03	  1.6412480E-01	  3.9217700E-02
pp157	1718.956	6596.062	1	  8.6454600E-02	  2.3007400E-02	  3.5692210E-01	  2.5704400E-02
pp158	3023.463	8054.04	1	  4.7876300E-02	  2.1962000E-03	  5.3925430E-01	  2.7558100E-02
pp159	2511.892	7235.526	1	  6.0562600E-02	  6.3028000E-03	  4.5667790E-01	  3.1795100E-02
pp160	3944.291	8744.662	1	  3.1358300E-02	  3.0176000E-03	  4.7480460E-01	  1.4001900E-02
pp161	5274.377	7414.576	1	  1.8054100E-02	  7.2360000E-04	  5.5613560E-01	  3.4630800E-02
pp162	6220.784	6621.641	1	  1.1598000E-02	  1.6891600E-02	  5.1326690E-01	  5.3814000E-02
pp163	4097.763	7593.626	1	  2.1414600E-02	  1.0194000E-03	  3.0296540E-01	  1.5021400E-02
pp164	4558.177	6749.534	1	  8.3684000E-03	  3.3651000E-03	  2.4877700E-01	  1.3227100E-02
pp165	6144.048	5956.598	1	  7.7960000E-03	  4.8956800E-02	  4.2314870E-01	  4.3358500E-02
pp166	2869.992	5841.495	1	  6.3319100E-02	  8.2049400E-02	  2.5275500E-01	  1.2216800E-02
pp167	3279.249	5854.284	1	  3.6550100E-02	  7.1052000E-02	  2.1236750E-01	  1.1122900E-02
pp168	3573.402	5854.284	1	  2.2776800E-02	  6.2027700E-02	  1.7780220E-01	  1.0450600E-02
pp169	3893.134	5854.284	1	  1.3662400E-02	  5.1336600E-02	  1.3364850E-01	  9.7489000E-03
pp170	4302.391	5879.863	4	  3.6761400E-02	  2.0335000E-03	  3.2959000E-03	  4.0230000E-04
pp171	3381.563	5624.077	1	  3.2864900E-02	  9.3043300E-02	  2.2182560E-01	  1.0505200E-02
pp172	3547.824	5457.816	4	  1.2185290E-01	  8.5662000E-03	  3.4908000E-03	  2.2520000E-04
pp173	4187.288	5662.445	4	  6.6228300E-02	  4.4926000E-03	  3.4132000E-03	  4.4600000E-04
pp174	4583.755	5419.448	4	  7.4178400E-02	  9.0370000E-03	  4.7041000E-03	  4.4260000E-04
pp175	4583.755	5048.559	4	  1.1156520E-01	  1.5699800E-02	  5.0684000E-03	  4.0700000E-04
pp176	4174.498	5202.031	4	  1.2516270E-01	  1.1619200E-02	  2.5277000E-03	  4.4600000E-04
pp177	3176.935	5048.559	1	  4.9048100E-02	  1.6328100E-01	  3.4761700E-01	  1.0076700E-02
pp178	3739.663	5099.716	4	  1.5158920E-01	  1.2363400E-02	  3.0915000E-03	  3.4410000E-04
pp179	2933.938	6110.07	1	  5.6579800E-02	  5.4416500E-02	  2.4686600E-01	  1.3473400E-02
pp180	3240.881	6135.648	1	  3.7299700E-02	  4.6252100E-02	  2.0766650E-01	  1.2175500E-02
pp181	3611.77	6148.437	1	  2.0232200E-02	  3.6806000E-02	  1.6420080E-01	  1.0890600E-02
pp182	3969.87	6148.437	1	  1.0982000E-02	  2.8560200E-02	  1.2944990E-01	  9.9170000E-03
pp183	4647.702	5649.656	1	  6.3472000E-03	  4.1001600E-02	  9.8029500E-02	  1.0447800E-02
pp184	4558.177	5918.23	1	  5.6756000E-03	  2.7839800E-02	  1.1612400E-01	  9.9444000E-03
pp185	4404.706	6199.595	1	  6.1477000E-03	  1.7703200E-02	  1.3623770E-01	  1.0078000E-02
pp186	4404.706	6378.645	1	  6.4728000E-03	  1.1550400E-02	  1.5981560E-01	  1.0642800E-02
pp187	4123.341	6404.223	4	  9.2527000E-03	  1.9870000E-04	  1.4285000E-03	  1.9340000E-04
pp188	3854.766	6455.38	1	  1.3540700E-02	  1.6132800E-02	  1.4881230E-01	  1.0952700E-02
pp189	3535.034	6404.223	1	  2.3215100E-02	  2.3264500E-02	  1.7631990E-01	  1.1898600E-02
pp190	3304.827	6429.802	1	  3.3699800E-02	  2.5585000E-02	  2.0892460E-01	  1.3171500E-02
pp191	2946.727	6442.591	1	  5.3776900E-02	  2.9950200E-02	  2.7222060E-01	  1.5749500E-02
pp192	3087.41	6634.43	1	  4.5611800E-02	  1.8811900E-02	  2.7033800E-01	  1.6012800E-02
pp193	3394.352	7069.266	1	  3.3842800E-02	  5.2602000E-03	  2.8091360E-01	  1.5904800E-02
pp194	3483.877	6711.166	1	  2.6859400E-02	  1.1940500E-02	  2.0599190E-01	  1.3424600E-02
pp195	3905.924	6851.848	1	  1.5040100E-02	  5.4137000E-03	  1.7930550E-01	  1.2253200E-02
pp196	4327.97	6749.534	1	  9.0155000E-03	  4.3974000E-03	  1.9805170E-01	  1.2041400E-02
pp197	4941.855	5943.809	1	  4.3778000E-03	  2.2055300E-02	  1.7585510E-01	  1.1867600E-02
pp198	2690.942	6225.173	1	  7.1441700E-02	  4.8128600E-02	  2.9301480E-01	  1.5692100E-02
pp199	2396.788	5982.177	1	  9.3943500E-02	  7.1481300E-02	  3.2009410E-01	  1.4941000E-02
pp200	2652.574	5675.234	1	  8.0557400E-02	  1.0311580E-01	  2.8001580E-01	  1.1978600E-02
