ppname	easting	northing	zone	kx1	kx2	kx3	rch
pp151	286.55700	1198.98600	1	4.651E+00	2.266E-02	5.186E-01	2.667E-04
pp152	1130.65000	5214.82000	1	1.709E+00	2.411E-01	3.938E-01	1.894E-04
pp153	1770.11400	5163.66300	1	1.614E+00	3.763E-01	8.101E-01	1.792E-04
pp154	2665.36300	4984.61300	1	2.364E+00	5.398E-02	9.937E-01	3.893E-04
pp155	3893.13400	4805.56300	1	9.928E+00	3.556E-02	1.055E+00	3.798E-04
pp156	1258.54200	7465.73300	1	6.582E+00	1.945E-01	1.965E+00	2.157E-04
pp157	1718.95600	6596.06200	1	3.294E+00	1.809E-01	5.883E-01	3.539E-04
pp158	3023.46300	8054.04000	1	3.026E+00	9.450E-02	1.600E+00	2.983E-04
pp159	2511.89200	7235.52600	1	1.077E+00	1.808E-02	1.822E+00	4.911E-04
pp160	3944.29100	8744.66200	1	7.944E+00	7.654E-02	1.282E+00	3.371E-04
pp161	5274.37700	7414.57600	1	8.589E+00	1.798E-02	2.342E+00	1.775E-04
pp162	6220.78400	6621.64100	1	3.466E+00	3.887E-02	1.393E+00	3.017E-04
pp163	4097.76300	7593.62600	1	1.573E+01	3.938E-01	4.140E+00	3.658E-04
pp164	4558.17700	6749.53400	1	3.708E+01	1.683E-01	3.160E+00	2.527E-04
pp165	6144.04800	5956.59800	1	7.140E+00	1.770E-02	3.693E+00	3.033E-04
pp166	2869.99200	5841.49500	1	5.771E+00	7.177E-03	5.794E-01	3.385E-04
pp167	3279.24900	5854.28400	1	6.942E+00	2.695E-01	1.551E+00	3.442E-04
pp168	3573.40200	5854.28400	1	1.414E+01	3.041E-01	1.463E+00	5.099E-04
pp169	3893.13400	5854.28400	1	2.115E+01	3.374E-01	2.669E+00	5.418E-04
pp170	4302.39100	5879.86300	4	3.342E-01	5.364E-02	1.672E+00	2.136E-04
pp171	3381.56300	5624.07700	1	9.114E+00	1.489E-01	1.891E+00	3.777E-04
pp172	3547.82400	5457.81600	4	2.663E-01	2.846E-02	1.327E+00	2.347E-04
pp173	4187.28800	5662.44500	4	5.219E-01	1.348E-01	1.443E+00	1.911E-04
pp174	4583.75500	5419.44800	4	6.059E-01	2.503E-02	8.273E+00	3.064E-04
pp175	4583.75500	5048.55900	4	2.321E+00	3.454E-02	4.892E+00	3.174E-04
pp176	4174.49800	5202.03100	4	5.297E-01	5.066E-03	7.856E+00	1.306E-04
pp177	3176.93500	5048.55900	1	9.672E+00	1.328E-01	2.258E+00	4.535E-04
pp178	3739.66300	5099.71600	4	8.176E-01	7.706E-02	6.218E+00	2.155E-04
pp179	2933.93800	6110.07000	1	6.827E+00	9.882E-02	5.412E-01	4.920E-04
