pp219	366.4682542	7125.778005	1	4.18E+00	7.02E-02	6.26E+00	1.72E-04
pp220	200.3918475	7590.791944	1	3.00E+00	2.32E-01	6.74E+00	2.85E-04
pp221	715.2287082	7325.069693	1	2.36E+00	1.11E-01	9.56E+00	2.15E-04
pp222	814.8745522	6777.017551	1	1.06E+01	4.44E-02	5.06E+00	2.49E-04
pp223	1163.635006	6561.118223	1	4.58E+00	2.64E-02	5.24E-01	1.97E-04
pp224	1445.964897	7125.778005	1	4.74E+00	6.46E-02	1.14E+00	2.47E-04
pp225	549.1523015	6561.118223	1	8.56E+00	1.59E-01	4.99E+00	2.56E-04
pp226	1844.548273	7291.854412	1	1.90E+00	3.65E-02	1.97E+00	2.87E-04
pp227	2093.662883	8055.805883	1	1.80E+00	3.00E-02	4.98E-01	2.67E-04
pp228	2375.992775	7922.944757	1	1.32E+00	7.26E-03	1.19E+00	2.88E-04
pp229	2542.069181	8819.757353	1	2.60E+00	9.30E-02	1.56E+00	1.62E-04
pp230	3123.336605	8587.250384	1	2.35E+00	7.24E-02	1.21E+00	2.30E-04
pp231	3272.805371	9019.049041	1	2.67E+00	3.85E-01	1.52E+00	3.00E-04
pp232	2425.815697	9317.986573	1	5.50E+00	1.42E-01	3.46E+00	2.17E-04
pp233	1927.586477	9650.139386	1	7.35E+00	8.09E-02	1.81E+00	2.42E-04
pp234	3472.097059	9600.316464	1	4.35E+00	1.34E-01	1.27E+00	3.78E-04
pp235	3920.503357	9151.910167	1	1.25E+01	1.80E-01	9.43E-01	2.72E-04
